ack__advertisement__content_owner__series_id	array(bigint)			
ack__advertisement__content_owner__flags	array(bigint)			
ack__advertisement__content_owner__site_id	array(bigint)			
ack__advertisement__reseller	array(varchar)			
ack__advertisement__reseller__network_id	array(bigint)			
ack__advertisement__reseller__up_network_id	array(bigint)			
ack__advertisement__reseller__down_network_id	array(bigint)			
ack__advertisement__reseller__revenue	array(double)			
ack__advertisement__reseller__up_revenue	array(double)			
ack__advertisement__reseller__down_revenue	array(double)			
ack__advertisement__reseller__up_revenue_as_content_owner	array(double)			
ack__advertisement__reseller__inventory_id	array(bigint)			
ack__advertisement__reseller__rule_id	array(bigint)			
ack__advertisement__reseller__competition_resellers	array(integer)			
ack__advertisement__reseller__context_id	array(bigint)			
ack__advertisement__reseller__rule_ext_id	array(bigint)			
ack__advertisement__reseller__rule_flags	array(bigint)			
ack__advertisement__reseller__root_asset_id	array(bigint)			
ack__advertisement__reseller__root_section_id	array(bigint)			
ack__advertisement__reseller__root_asset_group	array(bigint)			
ack__advertisement__reseller__root_section_group	array(bigint)			
ack__advertisement__reseller__asset_group_id	array(bigint)			
ack__advertisement__reseller__series_id	array(bigint)			
ack__advertisement__reseller__flags	array(bigint)			
ack__advertisement__reseller__site_id	array(bigint)			
ack__advertisement__external_reseller	varchar			
ack__advertisement__external_reseller__network_id	bigint			
ack__advertisement__external_reseller__up_network_id	bigint			
ack__advertisement__external_reseller__down_network_id	bigint			
ack__advertisement__external_reseller__revenue	double			
ack__advertisement__external_reseller__up_revenue	double			
ack__advertisement__external_reseller__down_revenue	double			
ack__advertisement__external_reseller__up_revenue_as_content_owner	double			
ack__advertisement__external_reseller__inventory_id	bigint			
ack__advertisement__external_reseller__rule_id	bigint			
ack__advertisement__external_reseller__competition_resellers	integer			
ack__advertisement__external_reseller__context_id	bigint			
ack__advertisement__external_reseller__rule_ext_id	bigint			
ack__advertisement__external_reseller__rule_flags	bigint			
ack__advertisement__external_reseller__root_asset_id	bigint			
ack__advertisement__external_reseller__root_section_id	bigint			
ack__advertisement__external_reseller__root_asset_group	array(bigint)			
ack__advertisement__external_reseller__root_section_group	array(bigint)			
ack__advertisement__external_reseller__asset_group_id	array(bigint)			
ack__advertisement__external_reseller__series_id	bigint			
ack__advertisement__external_reseller__flags	bigint			
ack__advertisement__external_reseller__site_id	bigint			
ack__advertisement__active_term_id	array(bigint)			
ack__advertisement__active_audience_item_id	array(bigint)			
ack__advertisement__fill_rate	double			
ack__advertisement__entity_flags	bigint			
ack__advertisement__relative_priority	integer			
ack__advertisement__targeting_criteria_id	bigint			
ack__advertisement__position_in_slot	integer			
ack__advertisement__priority	array(double)			
ack__advertisement__rules	array(varchar)			
ack__advertisement__rules__network_id	array(bigint)			
ack__advertisement__rules__opp_rule_id	array(bigint)			
ack__advertisement__rules__win_rule_id	array(bigint)			
ack__advertisement__abstract_event_id	bigint			
ack__advertisement__triggering_concrete_event_id	bigint			
ack__advertisement__measurable_concrete_event_id	array(bigint)			
ack__advertisement__ecpm	bigint			
ack__advertisement__placement_id	bigint			
ack__advertisement__creative_id	bigint			
ack__advertisement__replaced_ad_id	bigint			
ack__advertisement__replaced_rendition_id	bigint			
ack__advertisement__ad_view_ratio	double			
ack__advertisement__event_ratio	double			
ack__advertisement__scenario_id	bigint			
ack__advertisement__billable_rate_denominator_event_id	bigint			
ack__advertisement__provider_measured_event_id	bigint			
ack__advertisement__billable_rate	double			
ack__advertisement__inventory_protection_flags	bigint			
ack__advertisement__io_id	bigint			
ack__advertisement__campaign_id	bigint			
ack__advertisement__budget_control_level	varchar			
ack__advertisement__network	array(varchar)			
ack__advertisement__network__role	array(varchar)			
ack__advertisement__network__network_id	array(bigint)			
ack__advertisement__network__content_owner_network_id	array(bigint)			
ack__advertisement__network__distributor_network_id	array(bigint)			
ack__advertisement__network__reseller_network_id	array(bigint)			
ack__advertisement__network__revenue	array(double)			
ack__advertisement__network__content_owner_revenue	array(double)			
ack__advertisement__network__distributor_revenue	array(double)			
ack__advertisement__network__reseller_revenue	array(double)			
ack__advertisement__network__competition_resellers	array(integer)			
ack__advertisement__network__rule_id	array(bigint)			
ack__advertisement__network__rule_ext_id	array(bigint)			
ack__advertisement__network__rule_flags	array(bigint)			
ack__advertisement__network__asset_id	array(bigint)			
ack__advertisement__network__site_section_id	array(bigint)			
ack__advertisement__network__series_id	array(bigint)			
ack__advertisement__network__site_id	array(bigint)			
ack__advertisement__network__asset_group_id	array(bigint)			
ack__advertisement__network__site_group_id	array(bigint)			
ack__advertisement__network__airing_channel_group_id	array(bigint)			
ack__advertisement__network__airing_channel_id	array(bigint)			
ack__advertisement__network__airing_id	array(bigint)			
ack__advertisement__network__scenario_id	array(bigint)			
ack__advertisement__network__flags	array(bigint)			
ack__advertisement__network__audience_item	array(bigint)			
ack__advertisement__network__avails	array(integer)			
ack__advertisement__fallback_ad_uniq_id	array(bigint)			
ack__advertisement__companion_ad_uniq_id	array(bigint)			
ack__slot	varchar			
ack__slot__slot_impression	bigint			
ack__slot__slot_end	bigint			
ack__slot__environment	varchar			
ack__slot__time_position	double			
ack__slot__time_position_class	varchar			
ack__slot__time_position_sequence	varchar			
ack__slot__ad_unit_id	bigint			
ack__slot__max_ads	integer			
ack__slot__flags	bigint			
ack__slot__width	integer			
ack__slot__height	integer			
ack__slot__compatible_dimensions	varchar			
ack__slot__profile_id	bigint			
ack__slot__max_duration	integer			
ack__slot__inventory_mask	bigint			
ack__slot__content_type_id	integer			
ack__slot__ad_units	varchar			
ack__slot__min_duration	integer			
ack__slot__num_ads	integer			
ack__slot__cue_point_sequence	integer			
ack__slot__original_max_ads	integer			
ack__slot__max_ad_duration	integer			
ack__slot__impression_weight	double			
ack__slot__standard_ad_unit_sequence	integer			
ack__slot__callback_counters	varchar			
ack__slot__slot_sequence	integer			
ack__slot__sequence	integer			
ack__slot__avails	integer			
ack__slot__original_ad_unit	varchar			
ack__slot__content_right_owner	bigint			
ack__slot__sponsor_ad	array(bigint)			
ack__slot__primary_content_type	array(integer)			
ack__slot__content_type	array(integer)			
ack__slot__resellers	array(varchar)			
ack__slot__resellers__network_id	array(bigint)			
ack__slot__resellers__up_network_id	array(bigint)			
ack__slot__resellers__inventory_id	array(bigint)			
ack__slot__resellers__context_id	array(bigint)			
ack__slot__resellers__flags	array(bigint)			
ack__slot__resellers__root_asset_id	array(bigint)			
ack__slot__resellers__root_section_id	array(bigint)			
ack__slot__resellers__root_asset_group	array(bigint)			
ack__slot__resellers__root_section_group	array(bigint)			
ack__slot__resellers__asset_group_id	array(bigint)			
ack__slot__resellers__series_id	array(bigint)			
ack__slot__resellers__avails	array(integer)			
ack__slot__resellers__site_id	array(bigint)			
ack__slot__rules	array(varchar)			
ack__slot__rules__network_id	array(bigint)			
ack__slot__rules__opp_rule_id	array(bigint)			
ack__slot__rules__win_rule_id	array(bigint)			
ack__slot__break_id	bigint			
ack__slot__opportunity_id	bigint			
ack__slot__break_display_id	bigint			
ack__slot__opportunity_display_id	bigint			
ack__slot__attrition_ratio	varchar			
ack__slot__attrition_ratio__ad_view_ratio	array(double)			
